"filename", "language", "JSON", "JavaScript", "Markdown", "PostCSS", "vue", "MS SQL", "HTML", "JSON with Comments", "comment", "blank", "total"
"d:\CV\Project-Web-Real-Madrid-V3\backend\config\db.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 1, 4, 20
"d:\CV\Project-Web-Real-Madrid-V3\backend\docs\openapiSpec.json", "JSON", 1175, 0, 0, 0, 0, 0, 0, 0, 0, 35, 1210
"d:\CV\Project-Web-Real-Madrid-V3\backend\ecosystem.config.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 7, 3, 29
"d:\CV\Project-Web-Real-Madrid-V3\backend\package-lock.json", "JSON", 2324, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2325
"d:\CV\Project-Web-Real-Madrid-V3\backend\package.json", "JSON", 32, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33
"d:\CV\Project-Web-Real-Madrid-V3\backend\scripts\reconcile.cron.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 8, 5, 25
"d:\CV\Project-Web-Real-Madrid-V3\backend\server.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 1, 1, 8
"d:\CV\Project-Web-Real-Madrid-V3\backend\sql\database.sql", "MS SQL", 0, 0, 0, 0, 0, 722, 0, 0, 118, 186, 1026
"d:\CV\Project-Web-Real-Madrid-V3\backend\src\app.js", "JavaScript", 0, 96, 0, 0, 0, 0, 0, 0, 12, 20, 128
"d:\CV\Project-Web-Real-Madrid-V3\backend\src\controllers\authcontroller.js", "JavaScript", 0, 69, 0, 0, 0, 0, 0, 0, 20, 5, 94
"d:\CV\Project-Web-Real-Madrid-V3\backend\src\controllers\cartcontroller.js", "JavaScript", 0, 152, 0, 0, 0, 0, 0, 0, 11, 18, 181
"d:\CV\Project-Web-Real-Madrid-V3\backend\src\controllers\highlightscontroller.js", "JavaScript", 0, 317, 0, 0, 0, 0, 0, 0, 16, 48, 381
"d:\CV\Project-Web-Real-Madrid-V3\backend\src\controllers\matchescontroller.js", "JavaScript", 0, 245, 0, 0, 0, 0, 0, 0, 13, 24, 282
"d:\CV\Project-Web-Real-Madrid-V3\backend\src\controllers\membershipscontroller.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 0, 5, 6, 53
"d:\CV\Project-Web-Real-Madrid-V3\backend\src\controllers\myticketscontroller.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 1, 2, 26
"d:\CV\Project-Web-Real-Madrid-V3\backend\src\controllers\newscontroller.js", "JavaScript", 0, 136, 0, 0, 0, 0, 0, 0, 66, 21, 223
"d:\CV\Project-Web-Real-Madrid-V3\backend\src\controllers\orderscontroller.js", "JavaScript", 0, 581, 0, 0, 0, 0, 0, 0, 37, 80, 698
"d:\CV\Project-Web-Real-Madrid-V3\backend\src\controllers\paymentscontroller.js", "JavaScript", 0, 334, 0, 0, 0, 0, 0, 0, 19, 35, 388
"d:\CV\Project-Web-Real-Madrid-V3\backend\src\controllers\playerscontroller.js", "JavaScript", 0, 428, 0, 0, 0, 0, 0, 0, 5, 59, 492
"d:\CV\Project-Web-Real-Madrid-V3\backend\src\controllers\productscontroller.js", "JavaScript", 0, 167, 0, 0, 0, 0, 0, 0, 5, 17, 189
"d:\CV\Project-Web-Real-Madrid-V3\backend\src\controllers\ticketorderscontroller.js", "JavaScript", 0, 323, 0, 0, 0, 0, 0, 0, 34, 34, 391
"d:\CV\Project-Web-Real-Madrid-V3\backend\src\controllers\ticketscontroller.js", "JavaScript", 0, 155, 0, 0, 0, 0, 0, 0, 2, 18, 175
"d:\CV\Project-Web-Real-Madrid-V3\backend\src\controllers\uploadcontroller.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 3, 5, 24
"d:\CV\Project-Web-Real-Madrid-V3\backend\src\controllers\userscontroller.js", "JavaScript", 0, 185, 0, 0, 0, 0, 0, 0, 20, 32, 237
"d:\CV\Project-Web-Real-Madrid-V3\backend\src\jobs\housekeeping.js", "JavaScript", 0, 36, 0, 0, 0, 0, 0, 0, 4, 4, 44
"d:\CV\Project-Web-Real-Madrid-V3\backend\src\lib\mailer.js", "JavaScript", 0, 53, 0, 0, 0, 0, 0, 0, 1, 7, 61
"d:\CV\Project-Web-Real-Madrid-V3\backend\src\middleware\authmiddleware.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 1, 4, 26
"d:\CV\Project-Web-Real-Madrid-V3\backend\src\middleware\uploadMulter.js", "JavaScript", 0, 60, 0, 0, 0, 0, 0, 0, 38, 15, 113
"d:\CV\Project-Web-Real-Madrid-V3\backend\src\routes\admin.cashback.js", "JavaScript", 0, 83, 0, 0, 0, 0, 0, 0, 5, 6, 94
"d:\CV\Project-Web-Real-Madrid-V3\backend\src\routes\admin.reconcile.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 1, 5, 29
