Date : 2026-01-01 16:03:52
Directory : d:\CV\Project-Web-Real-Madrid-V3
Total : 152 files,  28462 codes, 1231 comments, 3152 blanks, all 32845 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| vue                |         63 |     11,846 |        257 |      1,826 |     13,929 |
| JSON               |          8 |      8,851 |          0 |         45 |      8,896 |
| JavaScript         |         75 |      6,736 |        781 |      1,002 |      8,519 |
| MS SQL             |          1 |        733 |        118 |        186 |      1,037 |
| PostCSS            |          2 |        257 |         75 |         76 |        408 |
| Markdown           |          1 |         18 |          0 |         12 |         30 |
| HTML               |          1 |         13 |          0 |          4 |         17 |
| JSON with Comments |          1 |          8 |          0 |          1 |          9 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                    |        152 |     28,462 |      1,231 |      3,152 |     32,845 |
| . (Files)                                                                                            |          2 |      1,708 |          0 |          2 |      1,710 |
| backend                                                                                              |         62 |     10,292 |        779 |      1,107 |     12,178 |
| backend (Files)                                                                                      |          4 |      2,381 |          8 |          6 |      2,395 |
| backend\config                                                                                       |          1 |         15 |          1 |          4 |         20 |
| backend\docs                                                                                         |          1 |      1,175 |          0 |         35 |      1,210 |
| backend\scripts                                                                                      |          1 |         12 |          8 |          5 |         25 |
| backend\sql                                                                                          |          1 |        733 |        118 |        186 |      1,037 |
| backend\src                                                                                          |         54 |      5,976 |        644 |        871 |      7,491 |
| backend\src (Files)                                                                                  |          1 |         96 |         12 |         20 |        128 |
| backend\src\controllers                                                                              |         15 |      3,173 |        257 |        404 |      3,834 |
| backend\src\jobs                                                                                     |          1 |         36 |          4 |          4 |         44 |
| backend\src\lib                                                                                      |          1 |         53 |          1 |          7 |         61 |
| backend\src\middleware                                                                               |          2 |         81 |         39 |         19 |        139 |
| backend\src\routes                                                                                   |         28 |      1,211 |        179 |        222 |      1,612 |
| backend\src\services                                                                                 |          4 |      1,270 |        144 |        187 |      1,601 |
| backend\src\utils                                                                                    |          2 |         56 |          8 |          8 |         72 |
| frontend                                                                                             |         88 |     16,462 |        452 |      2,043 |     18,957 |
| frontend (Files)                                                                                     |          6 |      3,579 |          2 |         22 |      3,603 |
| frontend\src                                                                                         |         82 |     12,883 |        450 |      2,021 |     15,354 |
| frontend\src (Files)                                                                                 |          2 |         79 |          5 |         23 |        107 |
| frontend\src\api                                                                                     |          3 |         39 |         11 |         14 |         64 |
| frontend\src\assets                                                                                  |          1 |         88 |          0 |          4 |         92 |
| frontend\src\assets\data                                                                             |          1 |         88 |          0 |          4 |         92 |
| frontend\src\components                                                                              |         20 |      1,884 |         47 |        356 |      2,287 |
| frontend\src\components (Files)                                                                      |          8 |        879 |         25 |        168 |      1,072 |
| frontend\src\components\admin                                                                        |          4 |        272 |         15 |         52 |        339 |
| frontend\src\components\events                                                                       |          8 |        733 |          7 |        136 |        876 |
| frontend\src\components\events\christmas                                                             |          8 |        733 |          7 |        136 |        876 |
| frontend\src\composables                                                                             |          1 |         13 |          1 |          3 |         17 |
| frontend\src\events                                                                                  |          4 |        136 |         26 |         30 |        192 |
| frontend\src\pages                                                                                   |         41 |      9,818 |        204 |      1,437 |     11,459 |
| frontend\src\pages (Files)                                                                           |         11 |      3,943 |         89 |        621 |      4,653 |
| frontend\src\pages\admin                                                                             |         15 |      3,455 |         65 |        433 |      3,953 |
| frontend\src\pages\admin (Files)                                                                     |         13 |      3,349 |         65 |        423 |      3,837 |
| frontend\src\pages\admin\wallet                                                                      |          2 |        106 |          0 |         10 |        116 |
| frontend\src\pages\highlights                                                                        |          2 |        216 |          5 |         32 |        253 |
| frontend\src\pages\orders                                                                            |          2 |        520 |          6 |         76 |        602 |
| frontend\src\pages\palmares                                                                          |          3 |        223 |          5 |         44 |        272 |
| frontend\src\pages\partners                                                                          |          1 |        167 |          4 |         16 |        187 |
| frontend\src\pages\pay                                                                               |          1 |         55 |          1 |         11 |         67 |
| frontend\src\pages\players                                                                           |          2 |        592 |         21 |         85 |        698 |
| frontend\src\pages\tickets                                                                           |          1 |        164 |          1 |         28 |        193 |
| frontend\src\pages\user                                                                              |          3 |        483 |          7 |         91 |        581 |
| frontend\src\router                                                                                  |          1 |        216 |         19 |         18 |        253 |
| frontend\src\services                                                                                |          3 |        173 |         46 |         41 |        260 |
| frontend\src\store                                                                                   |          3 |        176 |         14 |         18 |        208 |
| frontend\src\styles                                                                                  |          2 |        257 |         75 |         76 |        408 |
| frontend\src\utils                                                                                   |          1 |          4 |          2 |          1 |          7 |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                             | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\CV\Project-Web-Real-Madrid-V3\backend\config\db.js                                                | JavaScript         |         15 |          1 |          4 |         20 |
| d:\CV\Project-Web-Real-Madrid-V3\backend\docs\openapiSpec.json                                       | JSON               |      1,175 |          0 |         35 |      1,210 |
| d:\CV\Project-Web-Real-Madrid-V3\backend\ecosystem.config.js                                         | JavaScript         |         19 |          7 |          3 |         29 |
